client_id,command,arg,arrival_time,dispatch_time,completion_time,total_time
CLI0,PRIMEDIVISORS,452876,0.000000,0.000006,2.005397,2.005397
CLI1,ANAGRAMS,tralala,0.000026,0.000027,2.005508,2.005482
CLI2,PRIMEDIVISORS,129072,2.005413,2.005414,4.010781,2.005368
CLI3,PRIMES,2908764,4.010785,4.010786,5.016098,1.005313
CLI4,PRIMES,10000987,5.015864,5.015866,7.017177,2.001313
CLI5,PRIMES,12043876,5.016099,5.016099,7.017252,2.001153
CLI6,PRIMES,20876,7.016925,7.016927,10.022513,3.005588
CLI7,ANAGRAMS,supercalifragilistic,7.017253,7.017254,10.022587,3.005334
CLI8,ANAGRAMS,caterpillar,10.022310,10.022311,12.027815,2.005505
CLI9,ANAGRAMS,rainbow,12.027818,12.027818,14.032571,2.004753
CLI10,PRIMES,3451629,14.032364,14.032366,14.349036,0.316672
